shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon
15,49222,47.227559,-1.515541
15,49231,47.227559,-1.515541
15,49232,47.229744,-1.511060
15,49241,47.229744,-1.511060
15,49242,47.232238,-1.507125
15,49251,47.232238,-1.507125
15,49252,47.235620,-1.504132
15,49261,47.235620,-1.504132
15,49262,47.235870,-1.508363
15,49271,47.235870,-1.508363
15,49272,47.238630,-1.507401
15,49281,47.238630,-1.507401
15,49282,47.241027,-1.508567
15,49291,47.241027,-1.508567
15,49292,47.244252,-1.509704
15,49301,47.244252,-1.509704
15,49302,47.246528,-1.511474
15,49311,47.246528,-1.511474
15,49312,47.247536,-1.514130
15,49321,47.247536,-1.514130
15,49322,47.248804,-1.517289
16,6361,47.208523,-1.611579
16,6362,47.209886,-1.614973
16,6371,47.209886,-1.614973
16,6372,47.211110,-1.617465
16,6381,47.211110,-1.617465
16,6382,47.214938,-1.614773
16,6391,47.214938,-1.614773
16,6392,47.216257,-1.613012
16,6401,47.216257,-1.613012
16,6402,47.217789,-1.610961
16,6411,47.217789,-1.610961
16,6412,47.218238,-1.607660
16,6421,47.218238,-1.607660
16,6422,47.217852,-1.603018
16,6431,47.217852,-1.603018
16,6432,47.216614,-1.597877
16,6441,47.216614,-1.597877
16,6442,47.216597,-1.592386
16,6451,47.216597,-1.592386
16,6452,47.213640,-1.589559
16,6461,47.213640,-1.589559
16,6462,47.213702,-1.584724
16,6471,47.213702,-1.584724
16,6472,47.212748,-1.581331
16,6481,47.212748,-1.581331
16,6482,47.211771,-1.577925
16,6491,47.211771,-1.577925
16,6492,47.213875,-1.574746
16,6501,47.213875,-1.574746
16,6502,47.214449,-1.572393
16,6511,47.214449,-1.572393
16,6512,47.214406,-1.568694
16,6521,47.214406,-1.568694
16,6522,47.214873,-1.564478
16,6531,47.214873,-1.564478
16,6532,47.215696,-1.559303
16,6541,47.215696,-1.559303
16,6542,47.216998,-1.556775
16,6551,47.216998,-1.556775
16,6552,47.218147,-1.557084
16,6561,47.218147,-1.557084
16,6562,47.219862,-1.555166
16,6571,47.219862,-1.555166
16,6572,47.221497,-1.555810
16,6581,47.221497,-1.555810
16,6582,47.222820,-1.556986
16,6591,47.222820,-1.556986
16,6592,47.225455,-1.559242
16,6601,47.225455,-1.559242
16,6602,47.227962,-1.561387
16,6611,47.227962,-1.561387
16,6612,47.230873,-1.563784
16,6621,47.230873,-1.563784
16,6622,47.232621,-1.565243
16,6631,47.232621,-1.565243
16,6632,47.233378,-1.559972
16,6641,47.233378,-1.559972
16,6642,47.234537,-1.557068
16,6651,47.234537,-1.557068
16,6652,47.233150,-1.555406
16,6661,47.233150,-1.555406
16,6662,47.234280,-1.552832
16,6671,47.234280,-1.552832
16,6672,47.235135,-1.549601
16,6681,47.235135,-1.549601
16,6682,47.235363,-1.547544
16,6691,47.235363,-1.547544
16,6692,47.238130,-1.544186
16,6701,47.238130,-1.544186
16,6702,47.240286,-1.542212
16,6711,47.240286,-1.542212
16,6712,47.241115,-1.538470
16,6721,47.241115,-1.538470
16,6722,47.243042,-1.534880
16,6731,47.243042,-1.534880
16,6732,47.243969,-1.536475
