route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
10B_1,FULLW,10B_1_AM_5,,,,
10B_1,FULLW,10B_1_AM_6,,,,
10B_1,FULLW,10B_1_AM_7,,,,
10B_1,FULLW,10B_1_AM_8,,,,
10B_1,FULLW,10B_1_AM_9,,,,
10B_2,FULLW,10B_2_AM_1,,,,
10B_2,FULLW,10B_2_AM_2,,,,
10B_2,FULLW,10B_2_AM_3,,,,
10B_2,FULLW,10B_2_AM_4,,,,
10B_2,FULLW,10B_2_AM_5,,,,
10B_2,FULLW,10B_2_AM_6,,,,
10B_2,FULLW,10B_2_AM_7,,,,
10B_2,FULLW,10B_2_AM_8,,,,
10B_2,FULLW,10B_2_AM_9,,,,
11_1,FULLW,11_1_AM_1,,,,
11_1,FULLW,11_1_AM_2,,,,
11_1,FULLW,11_1_AM_3,,,,
11_1,FULLW,11_1_AM_4,,,,
11_1,FULLW,11_1_AM_5,,,,
11_1,FULLW,11_1_AM_6,,,,
11_1,FULLW,11_1_AM_7,,,,
11_1,FULLW,11_1_AM_8,,,,
11_1,FULLW,11_1_AM_9,,,,
11_1,FULLW,11_1_AM_10,,,,
11_1,FULLW,11_1_AM_11,,,,
11_1,FULLW,11_1_AM_12,,,,
11_1,FULLW,11_1_AM_13,,,,
11_1,FULLW,11_1_AM_14,,,,
11_1,FULLW,11_1_AM_15,,,,
11_1,FULLW,11_1_AM_16,,,,
11_1,FULLW,11_1_AM_17,,,,
11_1,FULLW,11_1_AM_18,,,,
11_1,FULLW,11_1_AM_19,,,,
11_2,FULLW,11_2_AM_1,,,,
11_2,FULLW,11_2_AM_2,,,,
11_2,FULLW,11_2_AM_3,,,,
11_2,FULLW,11_2_AM_4,,,,
11_2,FULLW,11_2_AM_5,,,,
11_2,FULLW,11_2_AM_6,,,,
11_2,FULLW,11_2_AM_7,,,,
11_2,FULLW,11_2_AM_8,,,,
11_2,FULLW,11_2_AM_9,,,,
11_2,FULLW,11_2_AM_10,,,,
11_2,FULLW,11_2_AM_11,,,,
11_2,FULLW,11_2_AM_12,,,,
11_2,FULLW,11_2_AM_13,,,,
11_2,FULLW,11_2_AM_14,,,,
11_2,FULLW,11_2_AM_15,,,,
11_2,FULLW,11_2_AM_16,,,,
11_2,FULLW,11_2_AM_17,,,,
11_2,FULLW,11_2_AM_18,,,,
11_2,FULLW,11_2_AM_19,,,,
12_1,FULLW,12_1_AM_1,,,,
12_1,FULLW,12_1_AM_2,,,,
12_1,FULLW,12_1_AM_3,,,,
12_1,FULLW,12_1_AM_4,,,,
12_1,FULLW,12_1_AM_5,,,,
12_1,FULLW,12_1_AM_6,,,,
12_1,FULLW,12_1_AM_7,,,,
12_1,FULLW,12_1_AM_8,,,,
12_1,FULLW,12_1_AM_9,,,,
12_1,FULLW,12_1_AM_10,,,,
12_1,FULLW,12_1_AM_11,,,,
12_1,FULLW,12_1_AM_12,,,,
12_1,FULLW,12_1_AM_13,,,,
12_1,FULLW,12_1_AM_14,,,,
12_1,FULLW,12_1_AM_15,,,,
12_1,FULLW,12_1_AM_16,,,,
12_2,FULLW,12_2_AM_1,,,,
12_2,FULLW,12_2_AM_2,,,,
12_2,FULLW,12_2_AM_3,,,,
12_2,FULLW,12_2_AM_4,,,,
12_2,FULLW,12_2_AM_5,,,,
12_2,FULLW,12_2_AM_6,,,,
12_2,FULLW,12_2_AM_7,,,,
