shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
4210108,47.187966,-1.530460,20212
4210108,47.187966,-1.530460,20221
4210108,47.186073,-1.527230,20222
4210108,47.186073,-1.527230,20231
4210108,47.185209,-1.523991,20232
4210108,47.185209,-1.523991,20241
4210108,47.186386,-1.521991,20242
4210108,47.186386,-1.521991,20251
4210108,47.189553,-1.517502,20252
4210108,47.189553,-1.517502,20261
4210108,47.189050,-1.509275,20262
4210108,47.189050,-1.509275,20271
4210108,47.188697,-1.503675,20272
4210108,47.188697,-1.503675,20281
4210108,47.188481,-1.500281,20282
4210108,47.188481,-1.500281,20291
4210108,47.188081,-1.494202,20292
4210108,47.188081,-1.494202,20301
4210108,47.187623,-1.487465,20302
4210108,47.187623,-1.487465,20311
4210108,47.187408,-1.484302,20312
4210108,47.187408,-1.484302,20321
4210108,47.187004,-1.478317,20322
4210108,47.187004,-1.478317,20331
4210108,47.185624,-1.476653,20332
4210108,47.185624,-1.476653,20341
4210108,47.184008,-1.475653,20342
4210108,47.184008,-1.475653,20351
4210108,47.183505,-1.472644,20352
4210108,47.183505,-1.472644,20361
4210108,47.183800,-1.470389,20362
4210108,47.183800,-1.470389,20371
4210108,47.181302,-1.470431,20372
4210108,47.181302,-1.470431,20381
4210108,47.178344,-1.469446,20382
4210108,47.178344,-1.469446,20391
4210108,47.175539,-1.465206,20392
4210108,47.175539,-1.465206,20401
4210108,47.171017,-1.468827,20402
4210108,47.171017,-1.468827,20411
4210108,47.169040,-1.471173,20412
5911211,47.208077,-1.612253,20881
5911211,47.209886,-1.614973,20882
5911211,47.209886,-1.614973,20891
5911211,47.211110,-1.617465,20892
5911211,47.211110,-1.617465,20901
5911211,47.214938,-1.614773,20902
5911211,47.214938,-1.614773,20911
5911211,47.216257,-1.613012,20912
5911211,47.216257,-1.613012,20921
5911211,47.217521,-1.612949,20922
5911211,47.217521,-1.612949,20931
5911211,47.219487,-1.613188,20932
5911211,47.219487,-1.613188,20941
5911211,47.221506,-1.612736,20942
5911211,47.221506,-1.612736,20951
5911211,47.223049,-1.611748,20952
5911211,47.223049,-1.611748,20961
5911211,47.222825,-1.607026,20962
5911211,47.222825,-1.607026,20971
5911211,47.224231,-1.606940,20972
5911211,47.224231,-1.606940,20981
5911211,47.226688,-1.605150,20982
5911211,47.226688,-1.605150,20991
5911211,47.228776,-1.606226,20992
5911211,47.228776,-1.606226,21001
5911211,47.229087,-1.608566,21002
5911211,47.229087,-1.608566,21011
5911211,47.227984,-1.611760,21012
5911211,47.227984,-1.611760,21021
5911211,47.230668,-1.617187,21022
5911211,47.230668,-1.617187,21031
5911211,47.233275,-1.618607,21032
5911211,47.233275,-1.618607,21041
5911211,47.238062,-1.614419,21042
5911211,47.238062,-1.614419,21051
5911211,47.237624,-1.611638,21052
5911211,47.237624,-1.611638,21061
5911211,47.240679,-1.609135,21062
5911211,47.240679,-1.609135,21071
5911211,47.241647,-1.607522,21072
5911211,47.241647,-1.607522,21081
5911211,47.240302,-1.604343,21082
5911211,47.240302,-1.604343,21091
5911211,47.239281,-1.600358,21092
5911211,47.239281,-1.600358,21101
5911211,47.238359,-1.598410,21102
5911211,47.238359,-1.598410,21111
5911211,47.236081,-1.596563,21112
5911211,47.236081,-1.596563,21121
5911211,47.233276,-1.594544,21122
5911211,47.233276,-1.594544,21131
5911211,47.233936,-1.592566,21132
5911211,47.233936,-1.592566,21141
5911211,47.235904,-1.590668,21142
5911211,47.235904,-1.590668,21151
5911211,47.238243,-1.587014,21152
5911211,47.238243,-1.587014,21161
5911211,47.238180,-1.585758,21162
5911211,47.238180,-1.585758,21171
5911211,47.239667,-1.584649,21172
5911211,47.239667,-1.584649,21181
5911211,47.243115,-1.582727,21182
5911211,47.243115,-1.582727,21191
5911211,47.245447,-1.580748,21192
5911211,47.245447,-1.580748,21201
5911211,47.248934,-1.577037,21202
5911211,47.248934,-1.577037,21211
5911211,47.250843,-1.576622,21212
5911211,47.250843,-1.576622,21221
5911211,47.252811,-1.576200,21222
5911211,47.252811,-1.576200,21231
5911211,47.254654,-1.576748,21232
5911211,47.254654,-1.576748,21241
5911211,47.255755,-1.579281,21242
5911211,47.255755,-1.579281,21251
5911211,47.255380,-1.581098,21252
5911211,47.255380,-1.581098,21261
5911211,47.257347,-1.583755,21262
5911211,47.257347,-1.583755,21271
5911211,47.258385,-1.582101,21272
5911211,47.258385,-1.582101,21281
5911211,47.261815,-1.584429,21282
5911211,47.261815,-1.584429,21291
5911211,47.263119,-1.580308,21292
5911211,47.263119,-1.580308,21301
5911211,47.264881,-1.580930,21302
5911211,47.264881,-1.580930,21311
5911211,47.267426,-1.582289,21312
5910233,47.267426,-1.582289,20431
5910233,47.265395,-1.581476,20432
5910233,47.265395,-1.581476,20441
5910233,47.263706,-1.580164,20442
5910233,47.263706,-1.580164,20451
5910233,47.261764,-1.584234,20452
5910233,47.261764,-1.584234,20461
5910233,47.258673,-1.581759,20462
5910233,47.258673,-1.581759,20471
5910233,47.256837,-1.583792,20472
5910233,47.256837,-1.583792,20481
5910233,47.255396,-1.581258,20482
5910233,47.255396,-1.581258,20491
5910233,47.256162,-1.578673,20492
5910233,47.256162,-1.578673,20501
5910233,47.254515,-1.576837,20502
5910233,47.254515,-1.576837,20511
5910233,47.252706,-1.576387,20512
5910233,47.252706,-1.576387,20521
5910233,47.250422,-1.576869,20522
5910233,47.250422,-1.576869,20531
5910233,47.248572,-1.577306,20532
5910233,47.248572,-1.577306,20541
5910233,47.245288,-1.581205,20542
5910233,47.245288,-1.581205,20551
5910233,47.242892,-1.582889,20552
5910233,47.242892,-1.582889,20561
5910233,47.239378,-1.585073,20562
5910233,47.239378,-1.585073,20571
5910233,47.237918,-1.586113,20572
5910233,47.237918,-1.586113,20581
5910233,47.238281,-1.587440,20582
5910233,47.238281,-1.587440,20591
5910233,47.235274,-1.591336,20592
5910233,47.235274,-1.591336,20601
5910233,47.233637,-1.593093,20602
5910233,47.233637,-1.593093,20611
5910233,47.233875,-1.594859,20612
5910233,47.233875,-1.594859,20621
5910233,47.236255,-1.596559,20622
5910233,47.236255,-1.596559,20631
5910233,47.238484,-1.598377,20632
5910233,47.238484,-1.598377,20641
5910233,47.239567,-1.601253,20642
5910233,47.239567,-1.601253,20651
5910233,47.240202,-1.604246,20652
5910233,47.240202,-1.604246,20661
5910233,47.241854,-1.608521,20662
5910233,47.241854,-1.608521,20671
5910233,47.239621,-1.610142,20672
5910233,47.239621,-1.610142,20681
5910233,47.238058,-1.611452,20682
5910233,47.238058,-1.611452,20691
5910233,47.238147,-1.614429,20692
5910233,47.238147,-1.614429,20701
5910233,47.233113,-1.618982,20702
5910233,47.233113,-1.618982,20711
5910233,47.230539,-1.617279,20712
5910233,47.230539,-1.617279,20721
5910233,47.227957,-1.611531,20722
5910233,47.227957,-1.611531,20731
5910233,47.228897,-1.608639,20732
5910233,47.228897,-1.608639,20741
5910233,47.228767,-1.606480,20742
5910233,47.228767,-1.606480,20751
5910233,47.226246,-1.605687,20752
5910233,47.226246,-1.605687,20761
5910233,47.225002,-1.606761,20762
5910233,47.225002,-1.606761,20771
5910233,47.222821,-1.607158,20772
5910233,47.222821,-1.607158,20781
5910233,47.223167,-1.611931,20782
5910233,47.223167,-1.611931,20791
5910233,47.221140,-1.612432,20792
5910233,47.221140,-1.612432,20801
5910233,47.219348,-1.613424,20802
5910233,47.219348,-1.613424,20811
5910233,47.217299,-1.612881,20812
5910233,47.217299,-1.612881,20821
5910233,47.216308,-1.613538,20822
5910233,47.216308,-1.613538,20831
5910233,47.214663,-1.615132,20832
5910233,47.214663,-1.615132,20841
5910233,47.211911,-1.617500,20842
5910233,47.211911,-1.617500,20851
5910233,47.209756,-1.614832,20852
5910233,47.209756,-1.614832,20861
5910233,47.208077,-1.612253,20862
6010364,47.168850,-1.471132,21331
6010364,47.169394,-1.467829,21332
6010364,47.169394,-1.467829,21341
6010364,47.171664,-1.468820,21342
6010364,47.171664,-1.468820,21351
6010364,47.172838,-1.472482,21352
6010364,47.172838,-1.472482,21361
6010364,47.178512,-1.474649,21362
6010364,47.178512,-1.474649,21371
6010364,47.182724,-1.475758,21372
6010364,47.182724,-1.475758,21381
6010364,47.185902,-1.476616,21382
6010364,47.185902,-1.476616,21391
6010364,47.189209,-1.472349,21392
6010364,47.189209,-1.472349,21401
6010364,47.191586,-1.467298,21402
6010364,47.191586,-1.467298,21411
6010364,47.194480,-1.463430,21412
6010364,47.194480,-1.463430,21421
6010364,47.200104,-1.466053,21422
6010364,47.200104,-1.466053,21431
6010364,47.202708,-1.466974,21432
6010364,47.202708,-1.466974,21441
6010364,47.205180,-1.467324,21442
6010364,47.205180,-1.467324,21451
6010364,47.208342,-1.466888,21452
6010364,47.208342,-1.466888,21461
6010364,47.210391,-1.466036,21462
6010364,47.210391,-1.466036,21471
6010364,47.213339,-1.466358,21472
6010364,47.213339,-1.466358,21481
6010364,47.214940,-1.465969,21482
6010364,47.214940,-1.465969,21491
6010364,47.216696,-1.462458,21492
6011365,47.216687,-1.464355,21511
6011365,47.214827,-1.466159,21512
6011365,47.214827,-1.466159,21521
6011365,47.213188,-1.466422,21522
6011365,47.213188,-1.466422,21531
6011365,47.210536,-1.466118,21532
6011365,47.210536,-1.466118,21541
6011365,47.208064,-1.467063,21542
6011365,47.208064,-1.467063,21551
6011365,47.205360,-1.467478,21552
6011365,47.205360,-1.467478,21561
6011365,47.202724,-1.467098,21562
6011365,47.202724,-1.467098,21571
6011365,47.200220,-1.466188,21572
6011365,47.200220,-1.466188,21581
6011365,47.193167,-1.464126,21582
6011365,47.193167,-1.464126,21591
6011365,47.191791,-1.467025,21592
6011365,47.191791,-1.467025,21601
6011365,47.189155,-1.472620,21602
6011365,47.189155,-1.472620,21611
6011365,47.185624,-1.476653,21612
6011365,47.185624,-1.476653,21621
6011365,47.182572,-1.475869,21622
6011365,47.182572,-1.475869,21631
6011365,47.178675,-1.474884,21632
6011365,47.178675,-1.474884,21641
6011365,47.172696,-1.472360,21642
6011365,47.172696,-1.472360,21651
6011365,47.171017,-1.468827,21652
6011365,47.171017,-1.468827,21661
6011365,47.169040,-1.471173,21662
671169,47.326762,-1.348001,21841
671169,47.323589,-1.347635,21842
671169,47.323589,-1.347635,21851
671169,47.319054,-1.347233,21852
671169,47.319054,-1.347233,21861
671169,47.313653,-1.350642,21862
671169,47.313653,-1.350642,21871
671169,47.310635,-1.358993,21872
671169,47.310635,-1.358993,21881
671169,47.307936,-1.373332,21882
671169,47.307936,-1.373332,21891
671169,47.306464,-1.378957,21892
671169,47.306464,-1.378957,21901
671169,47.308794,-1.381514,21902
671169,47.308794,-1.381514,21911
671169,47.301516,-1.386474,21912
671169,47.301516,-1.386474,21921
671169,47.296727,-1.392895,21922
671169,47.296727,-1.392895,21931
671169,47.293191,-1.389839,21932
671169,47.293191,-1.389839,21941
671169,47.274152,-1.429231,21942
671169,47.274152,-1.429231,21951
671169,47.273239,-1.430471,21952
671169,47.273239,-1.430471,21961
671169,47.271560,-1.432585,21962
671169,47.271560,-1.432585,21971
671169,47.269526,-1.435521,21972
671169,47.269526,-1.435521,21981
671169,47.268371,-1.438082,21982
671169,47.268371,-1.438082,21991
671169,47.266578,-1.441595,21992
671070,47.266563,-1.441362,21681
671070,47.268317,-1.437994,21682
671070,47.268317,-1.437994,21691
